index,feature,importance
488,SUM(bureau_balance.MONTHS_BALANCE),110
1406,MAX(previous_app.STD(installments.AMT_PAYMENT)),110
1354,MEAN(previous_app.SUM(installments.AMT_INSTALMENT)),110
359,SUM(cash.MONTHS_BALANCE),110
50,DEF_60_CNT_SOCIAL_CIRCLE,110
457,MAX(bureau.AMT_CREDIT_SUM_LIMIT),109
413,SKEW(previous_app.AMT_DOWN_PAYMENT),109
1302,SUM(previous_app.SKEW(installments.AMT_INSTALMENT)),109
1353,MIN(previous_app.STD(cash.CNT_INSTALMENT_FUTURE)),109
345,SKEW(bureau_balance.MONTHS_BALANCE),109
520,MEAN(previous_app.AMT_CREDIT),109
697,MAX(previous_app.MEAN(credit.CNT_DRAWINGS_ATM_CURRENT)),109
1071,MAX(previous_app.SKEW(installments.NUM_INSTALMENT_NUMBER)),108
511,SUM(previous_app.AMT_ANNUITY),108
656,MEAN(previous_app.SKEW(installments.NUM_INSTALMENT_VERSION)),107
591,MIN(previous_app.STD(installments.DAYS_ENTRY_PAYMENT)),107
45,LANDAREA_MEDI,107
348,MIN(previous_app.DAYS_DECISION),107
561,MEAN(installments.NUM_INSTALMENT_VERSION),107
61,YEARS_BUILD_MEDI,106
447,MEAN(previous_app.AMT_APPLICATION),106
978,STD(previous_app.SUM(cash.SK_ID_CURR)),106
645,MAX(previous_app.MEAN(installments.AMT_PAYMENT)),105
1214,STD(previous_app.SKEW(installments.AMT_INSTALMENT)),105
1054,STD(previous_app.SUM(installments.NUM_INSTALMENT_VERSION)),105
336,SKEW(previous_app.AMT_GOODS_PRICE),105
204,MIN(bureau.AMT_CREDIT_MAX_OVERDUE),103
1590,SKEW(bureau.NUM_UNIQUE(bureau_balance.STATUS)),102
927,MEAN(previous_app.MEAN(installments.NUM_INSTALMENT_VERSION)),101
613,MAX(previous_app.SUM(installments.DAYS_INSTALMENT)),101
1397,STD(previous_app.NUM_UNIQUE(cash.NAME_CONTRACT_STATUS)),101
1091,SUM(previous_app.SKEW(cash.CNT_INSTALMENT)),101
485,SUM(installments.NUM_INSTALMENT_VERSION),100
409,SKEW(previous_app.CNT_PAYMENT),100
241,SUM(previous_app.AMT_GOODS_PRICE),100
151,MEAN(installments.DAYS_INSTALMENT),100
149,STD(installments.NUM_INSTALMENT_VERSION),100
301,MAX(previous_app.CNT_PAYMENT),99
1434,MAX(previous_app.MIN(installments.AMT_INSTALMENT)),99
331,STD(installments.DAYS_INSTALMENT),99
104,NONLIVINGAREA_AVG,98
1163,MAX(previous_app.SUM(cash.MONTHS_BALANCE)),98
540,MAX(bureau.AMT_ANNUITY),98
1072,MEAN(bureau.STD(bureau_balance.MONTHS_BALANCE)),98
1627,STD(previous_app.MIN(installments.AMT_INSTALMENT)),98
285,MEAN(previous_app.DAYS_LAST_DUE),97
518,MIN(previous_app.AMT_CREDIT),96
501,MODE(previous_app.NAME_TYPE_SUITE),96
621,STD(previous_app.SUM(installments.DAYS_INSTALMENT)),96
897,SUM(previous_app.MEAN(cash.CNT_INSTALMENT_FUTURE)),96
430,MODE(previous_app.NAME_CONTRACT_STATUS),95
365,MEAN(credit.SK_DPD_DEF),95
482,SKEW(bureau.AMT_CREDIT_MAX_OVERDUE),95
497,MEAN(installments.AMT_INSTALMENT),95
945,STD(previous_app.MEAN(cash.CNT_INSTALMENT_FUTURE)),95
1200,MAX(previous_app.MEAN(installments.DAYS_ENTRY_PAYMENT)),94
1648,MAX(previous_app.SKEW(installments.DAYS_INSTALMENT)),93
139,STD(previous_app.AMT_CREDIT),93
378,MODE(previous_app.CHANNEL_TYPE),93
609,MAX(previous_app.SKEW(cash.SK_DPD)),92
88,OBS_60_CNT_SOCIAL_CIRCLE,92
238,STD(bureau.AMT_CREDIT_SUM_LIMIT),92
1457,MAX(previous_app.SUM(installments.SK_ID_CURR)),92
1609,MEAN(previous_app.STD(cash.SK_DPD_DEF)),92
1458,STD(bureau.SUM(bureau_balance.MONTHS_BALANCE)),91
498,MEAN(previous_app.DAYS_TERMINATION),91
1640,MEAN(previous_app.STD(installments.AMT_PAYMENT)),91
226,SUM(previous_app.DAYS_TERMINATION),91
187,MIN(bureau.AMT_CREDIT_SUM_LIMIT),90
435,SUM(cash.CNT_INSTALMENT),90
618,MEAN(previous_app.STD(installments.NUM_INSTALMENT_NUMBER)),89
928,SUM(previous_app.MIN(cash.SK_ID_CURR)),89
166,MEAN(cash.MONTHS_BALANCE),89
1688,STD(previous_app.MIN(cash.CNT_INSTALMENT)),89
237,MIN(previous_app.HOUR_APPR_PROCESS_START),89
1306,MAX(previous_app.STD(cash.CNT_INSTALMENT_FUTURE)),88
392,STD(cash.CNT_INSTALMENT),88
